id_;match_id;date;crypto;opponent;winner;consensus
1;1;01/03/2022;LEO;BTC;1;Poof_work
2;2;02/03/2022;XMR;BTC;1;Poof_work
3;3;03/03/2022;ZEC;BTC;1;Poof_work
4;4;04/03/2022;GNO;BTC;1;Poof_work
5;5;05/03/2022;LEO;ETH;1;Poof_work
6;6;06/03/2022;XMR;ETH;1;Poof_work
7;7;07/03/2022;ZEC;ETH;1;Poof_work
8;8;08/03/2022;GNO;ETH;1;Poof_work
9;9;09/03/2022;BCH;DOGE;1;Poof_work
10;10;10/03/2022;LEO;DOGE;1;Poof_work
11;11;11/03/2022;XMR;DOGE;1;Poof_work
12;12;12/03/2022;ETC;DOGE;1;Poof_work
13;13;13/03/2022;ZEC;DOGE;1;Poof_work
14;14;14/03/2022;GNO;DOGE;1;Poof_work
15;15;15/03/2022;LTC;SHIB;1;Poof_work
16;16;16/03/2022;BCH;SHIB;1;Poof_work
17;17;17/03/2022;LEO;SHIB;1;Poof_work
18;18;18/03/2022;XMR;SHIB;1;Poof_work
19;19;19/03/2022;ETC;SHIB;1;Poof_work
20;20;20/03/2022;ZEC;SHIB;1;Poof_work
21;21;21/03/2022;KCS;SHIB;1;Poof_work
22;22;22/03/2022;BSV;SHIB;1;Poof_work
23;23;23/03/2022;COMP;SHIB;1;Poof_work
24;24;24/03/2022;GNO;SHIB;1;Poof_work
25;25;25/03/2022;LEO;LTC;1;Poof_work
26;26;26/03/2022;XMR;LTC;1;Poof_work
27;27;27/03/2022;MANA;LTC;1;Poof_work
28;28;28/03/2022;AXS;LTC;1;Poof_work
29;29;29/03/2022;ZEC;LTC;1;Poof_work
30;30;30/03/2022;KCS;LTC;1;Poof_work
31;31;31/03/2022;ENJ;LTC;1;Poof_work
32;32;01/04/2022;KDA;LTC;1;Poof_work
33;33;02/04/2022;GNO;LTC;1;Poof_work
34;34;03/04/2022;LEO;BCH;1;Poof_work
35;35;04/04/2022;XMR;BCH;1;Poof_work
36;36;05/04/2022;ETC;BCH;1;Poof_work
37;37;06/04/2022;MANA;BCH;1;Poof_work
38;38;07/04/2022;AXS;BCH;1;Poof_work
39;39;08/04/2022;ZEC;BCH;1;Poof_work
40;40;09/04/2022;KCS;BCH;1;Poof_work
41;41;10/04/2022;ENJ;BCH;1;Poof_work
42;42;11/04/2022;KDA;BCH;1;Poof_work
43;43;12/04/2022;AUDIO;BCH;1;Poof_work
44;44;13/04/2022;GNO;BCH;1;Poof_work
45;45;14/04/2022;AXS;LEO;1;Poof_work
46;46;15/04/2022;MANA;XMR;1;Poof_work
47;47;16/04/2022;AXS;XMR;1;Poof_work
48;48;17/04/2022;KCS;XMR;1;Poof_work
49;49;18/04/2022;GNO;XMR;1;Poof_work
50;50;19/04/2022;MANA;ETC;1;Poof_work
51;51;20/04/2022;AXS;ETC;1;Poof_work
52;52;21/04/2022;ZEC;ETC;1;Poof_work
53;53;22/04/2022;KCS;ETC;1;Poof_work
54;54;23/04/2022;ENJ;ETC;1;Poof_work
55;55;24/04/2022;KDA;ETC;1;Poof_work
56;56;25/04/2022;AUDIO;ETC;1;Poof_work
57;57;26/04/2022;GNO;ETC;1;Poof_work
58;58;27/04/2022;AXS;MANA;1;Poof_work
59;59;28/04/2022;GNO;MANA;1;Poof_work
60;60;29/04/2022;KCS;ZEC;1;Poof_work
61;61;30/04/2022;ENJ;ZEC;1;Poof_work
62;62;01/05/2022;KDA;ZEC;1;Poof_work
63;63;02/05/2022;GNO;ZEC;1;Poof_work
64;64;03/05/2022;GNO;KCS;1;Poof_work
65;65;04/05/2022;ENJ;BSV;1;Poof_work
66;66;05/05/2022;KDA;BSV;1;Poof_work
67;67;06/05/2022;AUDIO;BSV;1;Poof_work
68;68;07/05/2022;GNO;BSV;1;Poof_work
69;69;08/05/2022;KDA;COMP;1;Poof_work
70;70;09/05/2022;AUDIO;COMP;1;Poof_work
71;71;10/05/2022;GNO;COMP;1;Poof_work
72;72;11/05/2022;GNO;KDA;1;Poof_work
73;73;12/05/2022;GNO;AUDIO;1;Poof_work
74;74;13/05/2022;ADA;LUNA;1;Poof_Staking
75;75;14/05/2022;AVAX;LUNA;1;Poof_Staking
76;76;15/05/2022;DOT;LUNA;1;Poof_Staking
77;77;16/05/2022;MATIC;LUNA;1;Poof_Staking
78;78;17/05/2022;CRO;LUNA;1;Poof_Staking
79;79;18/05/2022;NEAR;LUNA;1;Poof_Staking
80;80;19/05/2022;TRX;LUNA;1;Poof_Staking
81;81;20/05/2022;ATOM;LUNA;1;Poof_Staking
82;82;21/05/2022;ALGO;LUNA;1;Poof_Staking
83;83;22/05/2022;EGLD;LUNA;1;Poof_Staking
84;84;23/05/2022;THETA;LUNA;1;Poof_Staking
85;85;24/05/2022;CAKE;LUNA;1;Poof_Staking
86;86;25/05/2022;FTM;LUNA;1;Poof_Staking
87;87;26/05/2022;XTZ;LUNA;1;Poof_Staking
88;88;27/05/2022;RUNE;LUNA;1;Poof_Staking
89;89;28/05/2022;FLOW;LUNA;1;Poof_Staking
90;90;29/05/2022;WAVES;LUNA;1;Poof_Staking
91;91;30/05/2022;AVAX;ADA;1;Poof_Staking
92;92;31/05/2022;MATIC;ADA;1;Poof_Staking
